t, n0, n1, n2
0, 10, 0, 0
1, 9, 1, 0
2, 10, 0, 0
3, 9, 1, 0
4, 10, 0, 0
5, 9, 1, 0
6, 10, 0, 0
7, 9, 1, 0
8, 10, 0, 0
9, 9, 1, 0
10, 10, 0, 0
11, 9, 1, 0
12, 10, 0, 0
13, 9, 1, 0
14, 10, 0, 0
15, 9, 1, 0
16, 10, 0, 0
17, 9, 1, 0
18, 8, 1, 1
19, 9, 1, 0
20, 10, 0, 0
21, 7, 3, 0
22, 10, 0, 0
23, 7, 2, 1
24, 7, 3, 0
25, 10, 0, 0
26, 9, 1, 0
27, 10, 0, 0
28, 9, 1, 0
29, 10, 0, 0
30, 9, 1, 0
31, 10, 0, 0
32, 9, 1, 0
33, 10, 0, 0
34, 9, 1, 0
35, 10, 0, 0
36, 9, 1, 0
37, 10, 0, 0
38, 1, 9, 0
39, 10, 0, 0
40, 1, 9, 0
41, 10, 0, 0
42, 9, 1, 0
43, 10, 0, 0
44, 9, 1, 0
45, 10, 0, 0
46, 9, 1, 0
47, 10, 0, 0
48, 8, 2, 0
49, 10, 0, 0
50, 8, 2, 0
51, 10, 0, 0
52, 9, 1, 0
53, 10, 0, 0
54, 9, 1, 0
55, 10, 0, 0
56, 8, 2, 0
57, 10, 0, 0
58, 2, 8, 0
59, 10, 0, 0
60, 2, 8, 0
61, 10, 0, 0
62, 9, 1, 0
63, 10, 0, 0
64, 1, 9, 0
65, 10, 0, 0
66, 9, 1, 0
67, 10, 0, 0
68, 9, 1, 0
69, 10, 0, 0
70, 9, 1, 0
71, 10, 0, 0
72, 9, 1, 0
73, 10, 0, 0
74, 9, 1, 0
75, 10, 0, 0
76, 6, 4, 0
77, 10, 0, 0
78, 8, 1, 1
79, 9, 1, 0
80, 10, 0, 0
81, 9, 1, 0
82, 10, 0, 0
83, 9, 1, 0
84, 10, 0, 0
85, 9, 1, 0
86, 10, 0, 0
87, 9, 1, 0
88, 10, 0, 0
